22688222,கச்சேரி சாலை
22976125,பசும்பொன் முத்துராமலிங்க தேவர் சாலை
22979972,ஆலந்தூர் சாலை
22979975,ஆலந்தூர் சாலை
23019250,திருவல்லிக்கேணி நெடுஞ்சாலை
23046730,ஸ்டெர்லிங் சாலை
23110060,அடையாறு மேம்பாலம்
23227994,சபரி சாலை
23467823,மயான வீதி
23648221,இந்திரா காந்தி சாலை
23761075,மகாத்மா காந்தி சாலை
23802583,புதிய ஆவடி சாலை
23961564,அவ்வை சண்முகம் சாலை
23966118,திருவொற்றியூர் நெடுஞ்சாலை
25454674,வள்ளுவர் சாலை
25454723,காமராஜர் சாலை
25454942,வன்னியர் தெரு
25459293,பிருந்தாவன் தெரு
25459576,அசோக் நகர் 49 வது தெரு
25459948,கோடம்பாக்கம் சாலை
25460325,வெங்கட்ராமன் தெரு
25466417,தம்பையா சாலை
25467697,அம்பேத்கர் சாலை
25467891,திருவள்ளூர் சாலை
26398968,வரதராஜ பெருமாள் கோயில் தெரு
26464902,எத்திராஜ் சாமி சாலை
26464967,மணலி சாலை
26483334,கத்திவாக்கம் நெடுஞ்சாலை
26491967,வேப்பேரி நெடுஞ்சாலை
26492556,ஆதித்தனார் சாலை
26516678,தண்டையார்பேட்டை நெடுஞ்சாலை
26518242,பல்லவன் சாலை
26527315,அருணாசலம் தெரு
26550347,புரசைவாக்கம் நெடுஞ்சாலை
26748560,நெல்சன் மாணிக்கம் சாலை
27880638,பாரதி சாலை
28076640,சத்யம் மேம்பாலம்
28076798,ராயப்பேட்டை மேம்பாலம்
28152147,அருணாச்சலம் தெரு
28152148,எத்திராஜ் பாலம்
28161781,கல்லூரி சாலை
28206824,இணைப்பு சாலை
28206826,சக்கரபாணி தெரு
28278656,மருத்துவர் முத்துலட்சுமி சாலை
28278657,மருத்துவர் முத்துலட்சுமி சாலை
28854808,பாந்தியன் சாலை
29044852,கல்லூரி பாலம்
29044853,பாந்தியன் சாலை
29046393,மருத்துவர் முத்துலட்சுமி சாலை
29115479,எழும்பூர் நெடுஞ்சாலை
29201406,எண்ணூர் நெடுஞ்சாலை
29349551,வைத்தியநாதன் பாலம்
30247198,நாராயண குரு சாலை
30247204,நாராயண குரு சாலை
30303188,திருமலை பிள்ளை சாலை
30598635,பிள்ளையார் கோயில் தெரு
30970579,நெல்சன் மாணிக்கம் சாலை
31020449,காமராஜர் சாலை
31336404,புதிய ஆவடி சாலை
31982968,காளியம்மன் கோயில் தெரு
32543792,ஆலந்தூர் சாலை
32648125,பாந்தியன் சாலை மேம்பாலம்
32648128,பாந்தியன் சாலை
32648130,பாந்தியன் சாலை
33625355,பீட்டர்ஸ் சாலை
33625356,முசிறி சுப்பிரமணியம் சாலை
33788897,ஆழ்வார்பேட்டை மேம்பாலம்
33876005,நெல்சன் மாணிக்கம் சாலை
34626522,அம்பத்தூர் திருவேற்காடு நெடுஞ்சாலை
34634447,எண்ணூர் நெடுஞ்சாலை
48115200,புரசைவாக்கம் நெடுஞ்சாலை
68523633,காமராஜர் சாலை
84085328,காமராஜர் சாலை
84658038,எண்ணூர் நெடுஞ்சாலை
85857843,பசும்பொன் முத்துராமலிங்க தேவர் சாலை
85863030,பசும்பொன் முத்துராமலிங்க தேவர் சாலை
85863183,செனடாப் சாலை
85863514,பசும்பொன் முத்துராமலிங்க தேவர் சாலை
102030537,செனடாப் சாலை
102479289,பாரதி சாலை
102479310,கச்சேரி சாலை
102479327,பாரதி சாலை
102479336,கச்சேரி சாலை
102484441,திருவள்ளுவர் சாலை
102484457,திருவள்ளுவர் சாலை
125206034,கத்திவாக்கம் நெடுஞ்சாலை
125206035,கத்திவாக்கம் நெடுஞ்சாலை
129613431,மருத்துவர் முத்துலட்சுமி சாலை
131909323,பசும்பொன் முத்துராமலிங்க தேவர் சாலை
133599496,திருவொற்றியூர் நெடுஞ்சாலை
133599500,திருவொற்றியூர் நெடுஞ்சாலை
157911932,அண்ணா மேம்பாலம்
186797313,வள்ளுவர் கோட்டம் நெடுஞ்சாலை
186797314,வள்ளுவர் கோட்டம் நெடுஞ்சாலை
186797315,வள்ளுவர் கோட்டம் நெடுஞ்சாலை
186797316,வள்ளுவர் கோட்டம் நெடுஞ்சாலை
208567679,கச்சேரி சாலை
209546163,வள்ளுவர் கோட்டம் நெடுஞ்சாலை
211435486,வேப்பேரி நெடுஞ்சாலை
237621835,புரசைவாக்கம் நெடுஞ்சாலை
346285847,பெரம்பூர் நெடுஞ்சாலை
354200283,திருவொற்றியூர் நெடுஞ்சாலை
397330142,புரசைவாக்கம் நெடுஞ்சாலை
397330143,புரசைவாக்கம் நெடுஞ்சாலை
397330144,புரசைவாக்கம் நெடுஞ்சாலை
